rental_id,rental_date,customer_id
1,2005-05-24 22:53:30,130
2,2005-05-24 22:54:33,459
3,2005-05-24 23:03:39,408
4,2005-05-24 23:04:41,333
5,2005-05-24 23:05:21,222
6,2005-05-24 23:08:07,549
7,2005-05-24 23:11:53,269
8,2005-05-24 23:31:46,239
9,2005-05-25 00:00:40,126
10,2005-05-25 00:02:21,399
11,2005-05-25 00:09:02,142
12,2005-05-25 00:19:27,261
13,2005-05-25 00:22:55,334
14,2005-05-25 00:31:15,446
15,2005-05-25 00:39:22,319
16,2005-05-25 00:43:11,316
17,2005-05-25 01:06:36,575
18,2005-05-25 01:10:47,19
19,2005-05-25 01:17:24,456
20,2005-05-25 01:48:41,185
21,2005-05-25 01:59:46,388
22,2005-05-25 02:19:23,509
23,2005-05-25 02:40:21,438
24,2005-05-25 02:53:02,350
25,2005-05-25 03:21:20,37
26,2005-05-25 03:36:50,371
27,2005-05-25 03:41:50,301
28,2005-05-25 03:42:37,232
29,2005-05-25 03:47:12,44
30,2005-05-25 04:01:32,430
31,2005-05-25 04:05:17,369
32,2005-05-25 04:06:21,230
33,2005-05-25 04:18:51,272
34,2005-05-25 04:19:28,597
35,2005-05-25 04:24:36,484
36,2005-05-25 04:36:26,88
37,2005-05-25 04:44:31,535
38,2005-05-25 04:47:44,302
39,2005-05-25 04:51:46,207
40,2005-05-25 05:09:04,413
41,2005-05-25 05:12:29,174
42,2005-05-25 05:24:58,523
43,2005-05-25 05:39:25,532
44,2005-05-25 05:53:23,207
45,2005-05-25 05:59:39,436
46,2005-05-25 06:04:08,7
47,2005-05-25 06:05:20,35
48,2005-05-25 06:20:46,282
49,2005-05-25 06:39:35,498
50,2005-05-25 06:44:53,18
51,2005-05-25 06:49:10,256
52,2005-05-25 06:51:29,507
53,2005-05-25 07:19:16,569
54,2005-05-25 07:23:25,291
55,2005-05-25 08:26:13,131
56,2005-05-25 08:28:11,511
57,2005-05-25 08:43:32,6
58,2005-05-25 08:53:14,323
59,2005-05-25 08:56:42,408
60,2005-05-25 08:58:25,470
61,2005-05-25 09:01:57,250
62,2005-05-25 09:18:52,419
63,2005-05-25 09:19:16,383
64,2005-05-25 09:21:29,368
65,2005-05-25 09:32:03,346
66,2005-05-25 09:35:12,86
67,2005-05-25 09:41:01,119
